  Freq. No. =   1,  f = 5.1077e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
427 ( 1.345373e+07 , 1.911808e+06 ) 
428 ( 1.313839e+07 , 1.448101e+07 ) 
429 ( -1.364852e+06 , -4.434484e+06 ) 
430 ( 6.747019e+06 , -2.768845e+06 ) 
431 ( 1.070869e+07 , -5.609800e+06 ) 
432 ( 6.475502e+06 , 2.468981e+06 ) 
433 ( 2.835798e+06 , 5.479754e+05 ) 
434 ( -2.484651e+05 , 1.090990e+06 ) 
435 ( 1.942567e+06 , -5.356195e+06 ) 
436 ( 2.874326e+06 , -1.906958e+06 ) 
437 ( -4.946323e+06 , 1.250076e+05 ) 
438 ( -6.592910e+06 , -6.182887e+06 ) 
439 ( -9.923944e+06 , -7.404042e+06 ) 
440 ( -8.900788e+06 , 3.989643e+05 ) 
441 ( 3.494845e+06 , -1.603182e+07 ) 
442 ( 2.316219e+06 , -1.289250e+07 ) 
443 ( 2.966041e+05 , -8.316786e+06 ) 
444 ( -3.887048e+06 , -9.900022e+06 ) 
445 ( -1.984632e+06 , -1.613436e+07 ) 
446 ( -8.620837e+06 , -1.043077e+07 ) 
447 ( -3.320911e+06 , -3.467600e+06 ) 
448 ( -1.224828e+06 , -1.209611e+07 ) 
449 ( -7.300224e+06 , -1.636844e+07 ) 
450 ( -1.134847e+07 , -1.635513e+07 ) 
451 ( -9.491393e+06 , -6.252399e+06 ) 
452 ( -1.267012e+07 , -1.134733e+07 ) 
453 ( -4.353103e+06 , -2.299128e+07 ) 
454 ( -9.541943e+06 , -1.799748e+07 ) 
455 ( -7.802964e+06 , -9.461098e+06 ) 
456 ( -1.150549e+07 , -1.852913e+07 ) 
457 ( -2.476642e+06 , -1.627457e+07 ) 
458 ( -6.663808e+06 , -1.077138e+07 ) 
459 ( -8.714689e+06 , -5.424720e+06 ) 
460 ( -1.055238e+07 , -1.550619e+07 ) 
461 ( 3.693281e+06 , -1.413978e+07 ) 
462 ( -1.801326e+06 , -1.217452e+07 ) 
463 ( -6.427384e+06 , -5.934736e+06 ) 
464 ( -5.989459e+06 , -1.018912e+07 ) 
465 ( 2.208104e+06 , -1.701514e+07 ) 
466 ( -1.141224e+06 , -1.372370e+07 ) 
467 ( -3.811161e+06 , -8.216875e+06 ) 
468 ( -2.707033e+06 , -1.331900e+07 ) 
469 ( 1.007345e+06 , -1.222131e+07 ) 
470 ( -2.708205e+06 , -9.623442e+06 ) 
471 ( -5.175637e+06 , -8.726457e+06 ) 
472 ( -3.199479e+06 , -1.309029e+07 ) 
473 ( -1.761314e+06 , -1.567122e+06 ) 
474 ( -6.036748e+06 , -1.363114e+07 ) 
475 ( -1.910857e+07 , -1.574228e+07 ) 
476 ( -1.552665e+07 , -5.424060e+05 ) 
477 ( 1.022124e+07 , -1.140198e+07 ) 
478 ( 1.163232e+07 , -1.030949e+07 ) 
479 ( 9.844957e+05 , -1.020459e+07 ) 
480 ( -2.254145e+05 , -1.361849e+07 ) 
481 ( 1.344074e+07 , -1.465057e+07 ) 
482 ( 8.319084e+06 , -1.586998e+07 ) 
483 ( 5.215046e+05 , -8.898569e+06 ) 
484 ( 1.046720e+07 , -1.082672e+07 ) 
485 ( 7.624981e+06 , -1.532723e+07 ) 
486 ( 6.471642e+06 , -1.652957e+07 ) 
